expected_in_original_zip,expected_path,set,file,source_file,component,expected_size,delivered_size,images_in_creative,all_images_decoded,font_families_used,status,identical_by_source_to,sha256
yes,01_Meta_Brand-Season/TOF_Feed/01-best-scenic-rail.png,01_Meta_Brand-Season/TOF_Feed,01-best-scenic-rail.png,ad-creatives.jsx,CreativeAspirational,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,35c15ca1e8aaef07c25ad09837ff13199c5858bc6e44677e4c55a49f87f092f8
yes,01_Meta_Brand-Season/TOF_Feed/02-super-6.png,01_Meta_Brand-Season/TOF_Feed,02-super-6.png,ad-creatives.jsx,CreativeSuper6,1080x1080,1080x1080,9,True,DM Sans + Lora,delivered,,13dc19f70be10b610f63e2e5a7438e01983767187ec87d83ad7dc1c2fc712568
yes,01_Meta_Brand-Season/TOF_Feed/03-winter-brand-intro.png,01_Meta_Brand-Season/TOF_Feed,03-winter-brand-intro.png,ad-creatives.jsx,CreativeWinterIntro,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,42b9f6dd111599534f676c59b5afb956fb879c9b778e37d0f6b0d4a0e00db33b
yes,01_Meta_Brand-Season/TOF_Feed/04-four-time-award-winning.png,01_Meta_Brand-Season/TOF_Feed,04-four-time-award-winning.png,ad-creatives.jsx,CreativeAwardWinning,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,a5e7cf1433c081f6251d1414166c45ee5ead40d82d441a1c4456ab2b25521b54
yes,01_Meta_Brand-Season/TOF_Feed/05-pinnacle-peter-hillary.png,01_Meta_Brand-Season/TOF_Feed,05-pinnacle-peter-hillary.png,ad-creatives.jsx,CreativePinnacle,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,1c365b1e681d4b2d6a2d504bd69b779cf5c2021ac4725cbe372d85985cb651e6
yes,01_Meta_Brand-Season/TOF_Feed/06-we-dont-miss-a-thing.png,01_Meta_Brand-Season/TOF_Feed,06-we-dont-miss-a-thing.png,ad-creatives.jsx,CreativeDestinations,1080x1350,1080x1350,9,True,DM Sans + Lora,delivered,,b5ea2efad9dae619da5d709e94c1cbcb73582346fe2753e575b22c77244c128d
yes,01_Meta_Brand-Season/TOF_Feed/07-winter-mood.png,01_Meta_Brand-Season/TOF_Feed,07-winter-mood.png,ad-creatives.jsx,CreativeWinterMood,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,35a2a24575332f1281f91696f3fb0aec4e240fed137b5b8b1f213a018f65abd2
yes,01_Meta_Brand-Season/TOF_Feed/08-voted-leading-tour-operator.png,01_Meta_Brand-Season/TOF_Feed,08-voted-leading-tour-operator.png,ad-creatives.jsx,CreativeVoted,1080x1350,1080x1350,3,True,DM Sans + Lora,delivered,,170b10559797975ef466707a30aa1396f58530c5ee5e79f82cfb0e281e08c47e
yes,01_Meta_Brand-Season/TOF_Feed/09-past-guests.png,01_Meta_Brand-Season/TOF_Feed,09-past-guests.png,ad-creatives.jsx,CreativeRealTravellers,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,ba6a4f2b66614614b2557880bb6e9749f45ad659cd7336e22f4bb2c0962d9c27
yes,01_Meta_Brand-Season/TOF_Feed/10-heritage-steam.png,01_Meta_Brand-Season/TOF_Feed,10-heritage-steam.png,ad-creatives.jsx,CreativeHeritage,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,484610fd66d80d2c003f30b523cb46325d1c860ff1183721ff92e6ed81c009fe
yes,01_Meta_Brand-Season/TOF_Feed/11-brand-mood-taieri-aerial.png,01_Meta_Brand-Season/TOF_Feed,11-brand-mood-taieri-aerial.png,ad-creatives.jsx,CreativeBrandMood,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,ff39b2975897ed46f2c0eae8d8343c010c2474d45206c4cbd07f417d5d40db43
yes,01_Meta_Brand-Season/TOF_Feed/12-coastal-alpenglow.png,01_Meta_Brand-Season/TOF_Feed,12-coastal-alpenglow.png,ad-creatives.jsx,CreativeAlpenglow,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,85bbcb89e6cb088a3c1b72faf359abf527ae1887769955933e3a6c322fb5d104
yes,01_Meta_Brand-Season/TOF_Feed/13-same-island-worlds-apart.png,01_Meta_Brand-Season/TOF_Feed,13-same-island-worlds-apart.png,ad-creatives.jsx,CreativeThreeSeasons,1080x1350,1080x1350,5,True,DM Sans + Lora,delivered,,b2d502e29586756acf728d9f2b2de2ab4be0c6e99940ea0bc93cbd35e4b69baf
yes,01_Meta_Brand-Season/TOF_Feed/14-taieri-gorge.png,01_Meta_Brand-Season/TOF_Feed,14-taieri-gorge.png,ad-creatives.jsx,CreativeTaieriGorge,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,882b20cf3e5b39ededfac82f371c4ddd8089921016670278394cf6227f14a465
yes,01_Meta_Brand-Season/TOF_Feed/15-lakeside-sunset.png,01_Meta_Brand-Season/TOF_Feed,15-lakeside-sunset.png,ad-creatives.jsx,CreativeLakesideSunset,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,d4c642bab5447c1618a4c74c9b120ac7b96dcfd8c12df76277641706c8732357
yes,01_Meta_Brand-Season/TOF_Feed/16-christchurch-to-queenstown.png,01_Meta_Brand-Season/TOF_Feed,16-christchurch-to-queenstown.png,ad-creatives.jsx,CreativeRoute,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,c9829d4e799a36d6702d1d3ceca2b6afda2bde7878d9d3e20696ed2ad80f6d96
yes,01_Meta_Brand-Season/TOF_Stories_9x16/01-best-scenic-rail-916.png,01_Meta_Brand-Season/TOF_Stories_9x16,01-best-scenic-rail-916.png,tof-stories.jsx,StoryAspirational,1080x1920,1080x1920,4,True,DM Sans + Lora,delivered,,ab79bf4398eed80723c507825f9a2369022442e71209ac6fb9127a668ba1c33f
yes,01_Meta_Brand-Season/TOF_Stories_9x16/02-super-6-916.png,01_Meta_Brand-Season/TOF_Stories_9x16,02-super-6-916.png,tof-stories.jsx,StorySuper6,1080x1920,1080x1920,9,True,DM Sans + Lora,delivered,,b5ea9d4df6c8e7500fd4e875b14fd5f0c1eafed4339508f46ed67fc3466779a1
yes,01_Meta_Brand-Season/TOF_Stories_9x16/04-award-winning-916.png,01_Meta_Brand-Season/TOF_Stories_9x16,04-award-winning-916.png,tof-stories.jsx,StoryAward,1080x1920,1080x1920,4,True,DM Sans + Lora,delivered,,465df0064524979a6b404bc4feff69b83048e88a668d47728c9c9b297fa325fc
yes,01_Meta_Brand-Season/TOF_Stories_9x16/09-past-guests-916.png,01_Meta_Brand-Season/TOF_Stories_9x16,09-past-guests-916.png,tof-stories.jsx,StoryGuests,1080x1920,1080x1920,4,True,DM Sans + Lora,delivered,,e03651783f4d02d958ac0815add6656818abd06c179b57521e124b5212e13946
yes,01_Meta_Brand-Season/MOF_Feed_1x1/1a-inclusions-editorial.png,01_Meta_Brand-Season/MOF_Feed_1x1,1a-inclusions-editorial.png,mof-v3.jsx,C1_A,1080x1080,1080x1080,4,True,DM Sans + Lora + Montserrat,delivered,,4281b72caeac0000d14c2c50859e92f8b35b1610cd4ea8caeb44e4fd686d4b04
yes,01_Meta_Brand-Season/MOF_Feed_1x1/1b-inclusions-split.png,01_Meta_Brand-Season/MOF_Feed_1x1,1b-inclusions-split.png,mof-v3.jsx,C1_B,1080x1080,1080x1080,4,True,DM Sans + Lora + Montserrat,delivered,,a53b746f961a066a985359bde6905960a07af3d160ff8adb2625b4a089703273
yes,01_Meta_Brand-Season/MOF_Feed_1x1/2b-booking-split.png,01_Meta_Brand-Season/MOF_Feed_1x1,2b-booking-split.png,mof-v3.jsx,C2_B,1080x1080,1080x1080,4,True,DM Sans + Lora + Montserrat,delivered,,d31ac5d41e054f716d44ec37a023db96051b9980afbddb4bad8a6063ce37d62e
yes,01_Meta_Brand-Season/MOF_Feed_1x1/3a-brochure-editorial.png,01_Meta_Brand-Season/MOF_Feed_1x1,3a-brochure-editorial.png,mof-v3.jsx,C3_A,1080x1080,1080x1080,2,True,DM Sans + Lora + Montserrat,delivered,,63c0323e2cdc6e0b104aef40f61110595772009ddf683c089257c96e26d3f949
yes,01_Meta_Brand-Season/MOF_Feed_1x1/4c-still-considering.png,01_Meta_Brand-Season/MOF_Feed_1x1,4c-still-considering.png,mof-v3.jsx,C4_C,1080x1080,1080x1080,4,True,DM Sans + Lora + Montserrat,delivered,,ae17bd649aebd0012a52abd09779b3bfa632197a71fd2ff1df4606c79ea65aef
